task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level
1,Part value various production behind matter growth important.,23-06-2025,23-06-2025,user_1,Medium,Done,Improvement,2.2,1.9,3,Intermediate
2,Race long dinner war painting chair certainly.,17-06-2025,18-06-2025,user_9,Medium,To Do,Feature,9.5,8.2,4.4,Expert
3,Question arrive he window film your recently tend.,26-05-2025,20-06-2025,user_5,Medium,To Do,Feature,2.4,1.9,5.6,Beginner
4,Popular understand feeling chance drug growth per career war.,11-05-2025,04-06-2025,user_5,Medium,Done,Feature,8.8,8.8,2.4,Expert
5,Him official behavior book perhaps low book popular nothing series history throughout.,08-06-2025,21-07-2025,user_8,Low,Done,Improvement,2.6,3.4,5.4,Intermediate
6,Little blue consider must much company sometimes player best account federal.,29-04-2025,11-05-2025,user_7,Medium,To Do,Improvement,6.4,8.2,3.8,Intermediate
7,Various nearly hour for course region reality operation rule only many card peace.,14-06-2025,15-06-2025,user_4,High,In Progress,Bug,7.2,6.8,8.3,Beginner
8,Audience assume window military either change.,31-05-2025,14-07-2025,user_10,High,In Progress,Feature,8.9,8.6,6.4,Intermediate
9,Week affect treatment concern its Mr.,05-05-2025,13-05-2025,user_4,High,To Do,Feature,2.1,2.2,5.3,Expert
10,Goal position more their ten front sign environmental.,22-05-2025,17-06-2025,user_4,Medium,Done,Feature,9.5,11,1.9,Intermediate
11,Argue participant film wear suffer day wide arm wear maybe.,01-05-2025,15-05-2025,user_9,Medium,In Progress,Feature,6,3.8,3.3,Beginner
12,Phone age perform media company security.,14-06-2025,18-06-2025,user_2,Low,In Progress,Improvement,6.3,5.3,10.1,Expert
13,Company line know outside though plant small.,08-05-2025,01-07-2025,user_5,High,To Do,Feature,1.6,1.6,1.2,Intermediate
14,Rather early tonight special those less there politics long.,16-05-2025,31-05-2025,user_8,Low,In Progress,Feature,9.7,9.7,3.7,Intermediate
15,Road black cut decide hold rather she.,12-06-2025,03-07-2025,user_7,High,In Progress,Improvement,2.9,2.9,11.4,Expert
16,Design provide sense blue everyone than kid entire probably provide bad responsibility whether.,03-05-2025,25-05-2025,user_1,Low,In Progress,Improvement,5.8,5.4,2.4,Intermediate
17,Near wind sometimes treat when boy worry.,25-05-2025,26-05-2025,user_6,High,In Progress,Improvement,9.5,12.6,7,Beginner
18,Process draw industry national around those her herself pretty history question especially us.,21-05-2025,24-05-2025,user_9,Medium,To Do,Feature,8.6,8.6,11.3,Intermediate
19,Different turn simply blood oil guy outside successful but case season even might.,13-05-2025,01-07-2025,user_10,Medium,In Progress,Feature,10.2,9.9,1.8,Beginner
20,Point fact civil such each administration society these poor middle reality.,15-06-2025,05-07-2025,user_6,Medium,In Progress,Bug,3.3,3.8,2.2,Intermediate
21,Team marriage all herself much detail evidence.,27-05-2025,22-06-2025,user_5,Low,To Do,Bug,4.3,2.7,1.7,Intermediate
22,Measure Congress capital behind major manage friend to word.,25-06-2025,03-07-2025,user_1,Medium,In Progress,Feature,11.5,12.1,6.1,Expert
23,Factor program assume old but I more involve ask opportunity make know lay improve.,20-06-2025,30-06-2025,user_3,Medium,Done,Feature,4.9,5,8,Beginner
24,Test citizen garden thus measure behind look.,07-05-2025,27-05-2025,user_10,Medium,To Do,Feature,3.1,4.2,7.1,Beginner
25,Race light answer avoid late front.,21-06-2025,06-07-2025,user_2,Medium,To Do,Feature,3.9,4.7,9.3,Expert
26,Movie painting like year phone course.,18-05-2025,23-06-2025,user_6,Medium,To Do,Feature,7.3,6.2,6.6,Beginner
27,Thought tax art painting area black total piece real.,18-05-2025,09-07-2025,user_7,Medium,To Do,Feature,1.8,2.2,2,Intermediate
28,Large force campaign decide as degree candidate.,08-05-2025,11-05-2025,user_9,Medium,To Do,Feature,7.2,7.2,9.1,Intermediate
29,Goal agency strong bed company receive hotel also run recently fish service prepare.,29-05-2025,06-06-2025,user_10,Medium,To Do,Feature,2.5,2.5,9.7,Expert
30,Single treat nice item avoid lot score before amount.,01-06-2025,02-07-2025,user_5,Low,In Progress,Improvement,4.1,3.8,5.9,Beginner
31,Debate least gas them create fill.,13-06-2025,24-06-2025,user_9,High,In Progress,Improvement,3.9,3.5,11.7,Beginner
32,Could your difference enjoy already car cold administration national defense it story.,11-06-2025,29-06-2025,user_2,Medium,In Progress,Feature,10.3,11.9,2.9,Intermediate
33,Goal structure time soon often main concern focus.,25-05-2025,21-06-2025,user_5,Medium,To Do,Feature,2.1,2,2.7,Intermediate
34,Paper environmental mention set challenge parent theory baby person system pull three lose.,07-06-2025,17-07-2025,user_4,Medium,In Progress,Bug,11,10.9,3.3,Intermediate
35,Impact hour practice rate hundred say other sense section develop her sister.,12-05-2025,07-07-2025,user_6,Low,Done,Improvement,11,12.5,11.8,Intermediate
36,Rest member pay other late able indeed type political future similar great.,06-05-2025,15-06-2025,user_3,Medium,In Progress,Improvement,7.8,9.7,11.8,Expert
37,New few common between pay child task sit southern.,06-06-2025,11-06-2025,user_6,Medium,In Progress,Improvement,6.6,4.8,1.3,Intermediate
38,Police late wind include third sound have describe avoid situation gun easy rather.,01-05-2025,10-05-2025,user_2,Medium,To Do,Feature,7,6.8,6,Beginner
39,Beyond artist miss find account stop read heavy rather forward apply form light role.,13-05-2025,25-06-2025,user_2,High,In Progress,Improvement,3.7,4.1,5.4,Expert
40,Provide pattern probably run act fear have audience go brother.,28-05-2025,18-06-2025,user_9,Medium,To Do,Feature,2.9,3.2,11.6,Intermediate
41,Ten attention whose though treat state someone anything reason plant again job seem.,15-06-2025,04-07-2025,user_10,Low,Done,Bug,9.4,10.7,7,Intermediate
42,Shoulder beyond knowledge generation consumer material team day increase little relationship long nothing.,25-06-2025,16-07-2025,user_7,High,To Do,Improvement,1.8,2.7,11.9,Expert
43,Sing general vote fact compare job.,09-06-2025,09-07-2025,user_2,Medium,To Do,Improvement,5.9,6.1,2.2,Expert
44,Kind country tax why wait work great painting.,19-05-2025,12-06-2025,user_4,High,Done,Feature,7.3,8.5,3.3,Beginner
45,Surface trip home forget most recognize.,08-05-2025,07-07-2025,user_8,Medium,To Do,Feature,11.1,8.3,3.2,Expert
46,City place remain stage Republican represent.,16-05-2025,25-06-2025,user_7,High,In Progress,Feature,9.7,7.5,5.2,Beginner
47,Training make ok that authority guess far first chance start century tax.,01-06-2025,03-07-2025,user_8,Medium,In Progress,Bug,11.3,8.3,1.3,Intermediate
48,Could theory tough discussion field despite will about our new discussion anything among image.,21-05-2025,02-07-2025,user_10,Medium,In Progress,Feature,4.1,3.4,4.9,Beginner
49,Happy professor whom discussion mind discover either win benefit its walk include try.,25-05-2025,02-06-2025,user_9,High,To Do,Feature,3.1,2.7,2.5,Expert
50,Executive similar give include record economic through.,17-05-2025,17-05-2025,user_8,Medium,In Progress,Bug,5.1,2.9,4.4,Expert
51,Positive soldier beat religious voice tree consumer anything especially skin people step member.,06-06-2025,24-06-2025,user_9,High,Done,Feature,4.2,3.9,1.2,Expert
52,Assume try address unit accept suddenly.,05-06-2025,24-07-2025,user_1,Medium,In Progress,Improvement,2.9,3,7,Intermediate
53,As cause charge join job friend center body house food have range impact.,19-05-2025,24-06-2025,user_4,Medium,Done,Improvement,1.6,1.3,1.4,Beginner
54,Democratic entire direction wife yard where.,27-04-2025,30-04-2025,user_2,Medium,To Do,Feature,4.3,3,1.2,Beginner
55,Last instead yourself those market yourself establish seat accept drop food idea candidate.,01-05-2025,23-05-2025,user_2,Medium,In Progress,Feature,4.7,3.2,4.5,Intermediate
56,Show involve last each movie lay anyone mother seek whom.,13-06-2025,22-07-2025,user_8,Medium,In Progress,Feature,7.3,9.3,9.2,Expert
57,Series big forget few rich health claim business suddenly help fight.,06-06-2025,30-06-2025,user_7,Medium,To Do,Feature,7,4.8,11.4,Expert
58,Certainly up happen stage accept himself.,15-05-2025,22-07-2025,user_4,High,To Do,Feature,1.2,1.1,7.9,Intermediate
59,Age current power billion concern clearly.,22-06-2025,18-07-2025,user_3,Medium,To Do,Bug,8.3,4.7,8.7,Beginner
60,Thought increase door receive strategy table.,16-05-2025,01-06-2025,user_5,High,To Do,Bug,10.3,8.8,11.9,Expert
61,Position none detail suddenly administration not party defense human.,16-05-2025,23-07-2025,user_6,High,To Do,Improvement,3.8,4,9.5,Intermediate
62,Listen him month power successful American per.,19-05-2025,31-05-2025,user_1,Medium,In Progress,Improvement,2.7,3.2,2.1,Beginner
63,Point establish drug identify fill court campaign.,04-05-2025,07-05-2025,user_10,High,In Progress,Feature,10.1,9.9,11.3,Intermediate
64,Leader out debate how institution occur expect.,29-04-2025,14-06-2025,user_5,Medium,In Progress,Feature,10,8.9,7.8,Intermediate
65,Entire cold skin cut write woman court catch fear probably yes big board.,27-04-2025,26-06-2025,user_4,Medium,Done,Bug,8.8,9.1,9.4,Intermediate
66,Firm society create information teach toward particular box office be suddenly police.,16-06-2025,09-07-2025,user_4,Low,To Do,Bug,5.7,7.2,11.6,Beginner
67,Soldier see during goal dog cup generation weight.,21-05-2025,13-06-2025,user_9,Medium,Done,Bug,11,11.6,9.4,Expert
68,Alone dog suffer range south notice billion drug.,27-05-2025,22-07-2025,user_9,Low,Done,Bug,8.2,7.6,3,Intermediate
69,Sell song appear economic increase she detail.,23-05-2025,30-05-2025,user_5,Medium,Done,Feature,6.2,6.9,11.4,Expert
70,Food data suffer better senior actually theory method collection second security capital.,05-06-2025,02-07-2025,user_4,Medium,To Do,Bug,8.4,7.5,3,Expert
71,Away girl leg long after social.,01-06-2025,24-07-2025,user_3,Medium,In Progress,Feature,6.7,6.8,10.4,Intermediate
72,Along send image born weight question run ability beat a.,01-06-2025,15-07-2025,user_8,High,Done,Feature,8.1,10.4,2.3,Expert
73,Director old go recent country our such major someone paper travel beautiful major.,20-06-2025,12-07-2025,user_6,Medium,In Progress,Bug,6.2,7.1,1.4,Expert
74,Energy way type wait third case never own dream gun dinner.,21-06-2025,17-07-2025,user_6,Medium,To Do,Improvement,4,3,5.1,Beginner
75,Seem try start eat along between recent series between bar now defense.,05-05-2025,12-06-2025,user_4,High,In Progress,Bug,8.5,6.1,5.8,Beginner
76,Simply season Democrat travel read order keep side weight let usually growth seven.,26-05-2025,13-07-2025,user_4,Medium,In Progress,Feature,9.7,10.9,4.9,Intermediate
77,Set talk interview close whatever hospital.,03-06-2025,24-06-2025,user_4,Medium,Done,Feature,10.9,11.5,10,Expert
78,Husband huge stay table crime shoulder each natural gun.,14-05-2025,16-07-2025,user_5,Low,In Progress,Improvement,9.1,7.3,5.3,Expert
79,West need child including each mean either full position customer particular friend.,03-05-2025,10-05-2025,user_7,Medium,To Do,Bug,1.6,1.5,4.9,Expert
80,Main table entire scene together once.,29-05-2025,29-06-2025,user_6,Low,To Do,Feature,6.3,7.3,8.2,Intermediate
81,Go report phone out understand together contain north act.,09-05-2025,12-07-2025,user_8,Low,In Progress,Improvement,8.5,6.9,1.5,Intermediate
82,Account event son between a evidence red cold attack moment rule.,09-06-2025,15-07-2025,user_2,Medium,To Do,Bug,6.5,8.2,5.3,Intermediate
83,Will size else know establish cold.,20-05-2025,19-06-2025,user_2,Medium,To Do,Feature,10.2,10.9,7.5,Expert
84,To night difficult nation half tonight away.,22-05-2025,28-05-2025,user_6,High,In Progress,Bug,4.1,5.1,8.6,Intermediate
85,Election those protect around wife camera development idea son writer expect less marriage.,11-05-2025,28-05-2025,user_7,Medium,To Do,Improvement,9.1,5.9,7.8,Intermediate
86,Garden occur cell admit season enough.,24-05-2025,24-07-2025,user_6,Low,In Progress,Feature,6.6,8.2,1.2,Expert
87,Read rule reason describe spend lot protect.,05-06-2025,06-06-2025,user_4,Medium,In Progress,Feature,5.6,4.8,11.4,Expert
88,Best find college feel on condition.,05-05-2025,21-06-2025,user_10,Medium,Done,Feature,10.9,8.4,3.3,Intermediate
89,Sense along wall this thousand candidate.,28-05-2025,15-06-2025,user_1,Medium,In Progress,Feature,9.7,7.5,8,Intermediate
90,Option certainly back culture less score important government form fish.,03-05-2025,04-05-2025,user_6,Medium,Done,Bug,9.1,8.2,6.6,Intermediate
91,Debate deep every at together action move.,05-05-2025,23-05-2025,user_5,Medium,Done,Improvement,3,3.3,7.9,Beginner
92,Sort have each allow south design possible money ask training natural usually.,01-06-2025,11-07-2025,user_1,Medium,To Do,Bug,7.8,7.1,8.3,Beginner
93,Job street marriage need card energy read rule fall.,10-05-2025,22-06-2025,user_7,Medium,Done,Bug,2.2,2,10.6,Expert
94,Before night worker along work east coach early around expert side from memory.,29-05-2025,02-06-2025,user_4,High,To Do,Bug,3.4,3,2.3,Intermediate
95,Mention continue heart whose stage almost player behavior.,07-06-2025,02-07-2025,user_6,Medium,To Do,Bug,1.9,2.2,1.2,Beginner
96,Support bank every wait admit free general fine a officer lawyer know.,03-06-2025,23-07-2025,user_7,Medium,Done,Feature,9.6,6.9,10,Intermediate
97,Never though similar staff song nearly second team gas so technology again side.,01-06-2025,30-06-2025,user_4,Medium,In Progress,Feature,11.7,16.5,4.1,Expert
98,Six daughter strong let six visit.,09-06-2025,06-07-2025,user_2,Low,In Progress,Improvement,11.9,13.6,3.6,Beginner
99,Thus camera position minute single participant traditional event plant low myself wait step.,25-06-2025,26-06-2025,user_6,High,To Do,Bug,3.1,3.7,2.6,Intermediate
100,Rise environment measure inside eight yes throughout seat lead scene truth.,07-05-2025,23-06-2025,user_3,High,Done,Feature,7.7,6,1.1,Intermediate
101,Ball develop traditional effort drive follow but paper serve toward behavior student.,18-06-2025,20-07-2025,user_8,Medium,To Do,Bug,10.7,12.9,8.9,Intermediate
102,Fly reason small effect candidate nice soon health.,13-05-2025,23-05-2025,user_10,Medium,In Progress,Feature,2.2,2.9,6.3,Beginner
103,Leader whose thus still explain call.,21-05-2025,13-07-2025,user_4,Low,In Progress,Improvement,2.3,2.6,7.5,Expert
104,Whom firm us door former get audience interview service memory.,26-05-2025,12-06-2025,user_5,Medium,To Do,Improvement,8.8,7.7,9.7,Intermediate
105,Give over person professor prepare new wish yet quickly.,03-06-2025,08-06-2025,user_6,Medium,To Do,Bug,11.7,11.9,2.2,Expert
106,School through concern soon table happen.,02-05-2025,25-05-2025,user_9,Medium,In Progress,Feature,5.7,4.4,7.7,Intermediate
107,College item probably let defense relationship with without ten create beyond which.,17-06-2025,23-07-2025,user_1,Medium,To Do,Bug,5.6,4.2,7.3,Beginner
108,Onto mind why serious after through time enough current avoid talk challenge.,12-05-2025,07-07-2025,user_1,Medium,Done,Improvement,3.5,4.3,9.8,Expert
109,Bank speech simple form view college one public later.,27-05-2025,27-05-2025,user_3,High,Done,Improvement,7.6,6.4,1.1,Intermediate
110,Improve attorney young unit by affect whom remember others benefit parent.,10-06-2025,16-06-2025,user_3,Low,Done,Improvement,2.8,2.4,9.4,Beginner
111,Town easy discussion resource traditional picture.,04-06-2025,28-06-2025,user_10,Low,Done,Improvement,7.6,6.2,3.8,Intermediate
112,Close environmental yourself suggest too myself any middle from including put.,10-06-2025,10-06-2025,user_7,Medium,In Progress,Feature,3.8,3.1,6.9,Expert
113,Director relate land me determine kitchen exactly during player heavy weight.,14-06-2025,23-06-2025,user_2,Medium,To Do,Bug,2.9,2.8,7.1,Expert
114,Fund project reality benefit allow even which hand hair allow such act.,10-06-2025,15-07-2025,user_7,Low,To Do,Improvement,9.5,8.4,2.6,Intermediate
115,Course us buy often major cultural responsibility billion.,14-05-2025,23-07-2025,user_7,High,To Do,Bug,4.1,3.6,6.4,Intermediate
116,Budget represent theory tell rather sort.,09-05-2025,09-07-2025,user_4,Medium,In Progress,Feature,10.5,9.8,11.9,Intermediate
117,Walk read executive including future if author company him push ability available adult.,10-05-2025,15-05-2025,user_10,Medium,To Do,Bug,5.3,5.5,5.4,Intermediate
118,Hard inside end instead make wrong contain never early main service.,01-05-2025,17-05-2025,user_8,Medium,Done,Feature,8.3,9.4,4.7,Expert
119,Most against article me ok brother.,13-06-2025,19-06-2025,user_2,Medium,In Progress,Feature,4.2,2,11.5,Beginner
120,Coach issue security strategy away almost knowledge pull.,24-06-2025,21-07-2025,user_3,Low,Done,Improvement,5.6,5.1,9.8,Intermediate
121,Book national decision first how these question.,18-05-2025,11-06-2025,user_5,Medium,In Progress,Bug,2.5,3.7,2.2,Intermediate
122,Others hear level operation community perform such pick.,31-05-2025,07-07-2025,user_4,High,Done,Bug,3.9,3,1.4,Intermediate
123,Huge action summer sort house end bill perhaps these.,11-06-2025,20-07-2025,user_6,Medium,To Do,Improvement,5.2,7.2,10.7,Expert
124,Special cut plan how bar mention soon expert may son have outside.,03-06-2025,07-07-2025,user_3,Medium,To Do,Feature,8.1,7.8,8.9,Expert
125,Party adult onto range sort floor apply.,17-05-2025,08-07-2025,user_9,High,To Do,Bug,7.2,10.2,10.6,Beginner
126,Election him believe unit expert discover authority stand wear some surface significant begin.,09-06-2025,09-07-2025,user_8,Medium,To Do,Bug,7.1,7.5,4.4,Expert
127,Blue put street Republican exactly statement billion fine happen life term spring soldier.,27-04-2025,10-06-2025,user_4,Medium,To Do,Bug,2.4,2.3,1.8,Intermediate
128,Continue energy itself director ball so out church reflect art behind peace.,15-06-2025,17-07-2025,user_4,High,In Progress,Bug,4,3.4,4.5,Expert
129,Reflect election present staff one inside she detail movie chair already.,11-06-2025,24-06-2025,user_10,High,In Progress,Improvement,9.3,8.1,7.4,Intermediate
130,Artist right debate parent partner success add society use anything learn exactly.,08-06-2025,07-07-2025,user_5,High,In Progress,Improvement,6.2,6.3,8,Expert
131,Go partner stock save long perhaps player effect trip nor as collection degree.,20-05-2025,08-07-2025,user_8,Medium,To Do,Feature,11.7,7.9,5.7,Expert
132,Cup be him because fill group training house example instead election again.,07-06-2025,25-06-2025,user_4,Medium,To Do,Bug,2.3,2.2,3.9,Expert
133,For society team write yet enter front them bank.,10-05-2025,23-05-2025,user_3,Low,In Progress,Feature,8.4,9.6,7.7,Beginner
134,Arm employee item wear work notice during.,11-05-2025,20-07-2025,user_2,High,Done,Bug,3.9,3.8,9.1,Intermediate
135,Value put line remember key effort myself pattern.,11-06-2025,07-07-2025,user_5,High,To Do,Improvement,7.6,5.2,2.5,Intermediate
136,Owner five fill grow past trial.,10-05-2025,19-05-2025,user_7,Medium,Done,Improvement,11.1,12.7,10.6,Expert
137,Charge good hope rather American think its beyond find.,04-06-2025,28-06-2025,user_6,Low,Done,Bug,9.2,10.1,10.2,Beginner
138,Out simple season month government outside as recent pressure short institution.,24-05-2025,17-06-2025,user_5,Medium,In Progress,Feature,9.6,9.6,4.5,Beginner
139,Trial yet difference seat professor however both.,11-06-2025,03-07-2025,user_5,Medium,In Progress,Improvement,6.4,8.4,9.2,Intermediate
140,Culture sit our approach story despite family finally car change leader.,18-05-2025,29-05-2025,user_8,High,In Progress,Feature,5.8,5.5,2,Beginner
141,Cell use institution crime arm live great act wish term.,03-05-2025,10-06-2025,user_6,Medium,Done,Feature,7.3,7.5,2.1,Expert
142,Field adult nearly agency claim mean another sign.,21-05-2025,11-07-2025,user_3,Medium,Done,Improvement,11.8,12.4,11.5,Expert
143,Value morning nearly best step evening lot.,10-05-2025,28-05-2025,user_1,Medium,To Do,Bug,4.3,3.6,11.1,Beginner
144,Spring fire add reduce material bit interest.,29-04-2025,11-07-2025,user_3,High,Done,Bug,7.8,7.6,6.2,Intermediate
145,Western event sing growth value growth describe speak might each include own record month.,03-06-2025,25-06-2025,user_5,Medium,In Progress,Feature,4.8,5.3,3.5,Intermediate
146,Challenge support decision character themselves fine simply never market.,18-05-2025,18-06-2025,user_6,Low,In Progress,Improvement,2.6,3.2,8.6,Beginner
147,Sometimes pick yeah unit safe point walk clearly anyone rise part fight note.,30-05-2025,06-07-2025,user_5,Low,In Progress,Improvement,8.2,7,1.2,Expert
148,Up religious popular maybe keep a reach speech your similar may sport.,11-06-2025,27-06-2025,user_9,Medium,To Do,Bug,2.5,2.9,11.9,Expert
149,Movie can reduce candidate information partner program receive rest nearly away important.,10-06-2025,25-07-2025,user_8,High,To Do,Bug,9.9,8.9,6.9,Expert
150,Send term policy oil thus line pass drive great.,06-06-2025,19-07-2025,user_8,Medium,To Do,Improvement,6.9,6.3,2,Intermediate
151,These those west we want house child bill across hour business foot.,10-06-2025,12-06-2025,user_9,Medium,In Progress,Bug,11.4,12.1,4.3,Intermediate
152,Happy single memory approach bed set yeah yes admit federal whom audience.,08-06-2025,06-07-2025,user_2,Medium,To Do,Improvement,6.3,6.4,2.4,Intermediate
153,Top tend sometimes control brother some similar apply.,22-05-2025,27-05-2025,user_10,High,To Do,Improvement,3.5,4.4,5.9,Expert
154,Former until section mean factor find animal every quickly great.,06-06-2025,14-07-2025,user_4,Medium,To Do,Feature,5.7,4.2,3,Expert
155,Hit station challenge list eight environmental building seek have than war.,15-06-2025,25-06-2025,user_10,Medium,To Do,Improvement,6.8,6.3,4.8,Expert
156,Price identify second agreement billion wait course we finish artist.,03-06-2025,10-06-2025,user_9,Medium,In Progress,Improvement,9.6,8.3,7.1,Expert
157,Peace listen production idea anything administration trip list name full.,11-06-2025,24-07-2025,user_9,Low,In Progress,Bug,6.1,6.3,2,Intermediate
158,Road six film character head ago.,15-05-2025,09-07-2025,user_10,Medium,To Do,Feature,3.4,3.1,1.4,Beginner
159,Teacher pull consider child center can.,07-05-2025,08-06-2025,user_3,High,In Progress,Improvement,5.8,4.5,8.8,Expert
160,Reveal front like pass reach physical lose prove about middle shoulder.,15-05-2025,27-06-2025,user_3,Low,In Progress,Bug,1.8,2,3.2,Beginner
161,Though itself deep medical respond gun store evening degree.,19-06-2025,22-07-2025,user_8,Low,To Do,Improvement,2.9,3,5.7,Intermediate
162,You build create do beat edge west shake difficult listen.,21-05-2025,09-07-2025,user_5,High,To Do,Improvement,5.5,4.7,8.9,Intermediate
163,Middle deep arm try herself them happen present.,04-05-2025,01-06-2025,user_2,Medium,To Do,Bug,7.7,6.4,6,Intermediate
164,Will decade campaign turn forward season different safe plan agreement.,04-06-2025,18-06-2025,user_8,Low,To Do,Feature,6.1,6.2,9.2,Intermediate
165,Simply speech reason maintain tax out high term indeed property thing recently.,14-05-2025,15-06-2025,user_6,Medium,Done,Bug,2.2,2.1,10.2,Expert
166,Pm go I miss else ever wife do during high agent material.,07-05-2025,18-06-2025,user_10,Low,To Do,Feature,10.7,13.1,4.5,Intermediate
167,Necessary ability statement music finish market read training million top study.,30-04-2025,06-07-2025,user_3,Low,Done,Feature,11,7.9,11.1,Intermediate
