task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level
168,Former give policy while sea book would.,09-06-2025,26-06-2025,user_4,Medium,Done,Improvement,5,6.1,10,Beginner
169,Parent still develop try life discuss newspaper particular sea individual.,19-05-2025,18-06-2025,user_5,Low,In Progress,Bug,8.7,9.6,9,Beginner
170,Pick discussion book agency throughout interview sea room contain.,14-05-2025,11-07-2025,user_6,Medium,To Do,Improvement,11.7,13.6,6.7,Expert
171,Ask push also every prevent modern score think lay other student different report.,24-05-2025,03-07-2025,user_9,Low,In Progress,Improvement,3.7,4,10.8,Beginner
172,Yard standard deal fact not article.,03-05-2025,19-06-2025,user_9,High,To Do,Bug,2.8,2.8,10.7,Expert
173,No we early skill about investment beyond.,21-06-2025,03-07-2025,user_6,Medium,In Progress,Feature,1.8,1.2,8.5,Beginner
174,Discussion yeah back former draw figure soldier analysis win.,19-06-2025,06-07-2025,user_2,Medium,Done,Bug,5.9,6.2,11.8,Intermediate
175,Stay degree everybody understand activity dream Democrat under summer number example.,08-06-2025,20-07-2025,user_1,Medium,In Progress,Feature,11.2,11.3,3.9,Intermediate
176,Picture lead force effect certainly all none blood along middle back ago seat.,25-05-2025,22-07-2025,user_1,High,To Do,Improvement,10.5,12.1,11.7,Intermediate
177,Boy evidence might discuss one enter worry fight later local bring.,02-05-2025,21-05-2025,user_6,Low,Done,Improvement,10.5,10.7,5.6,Expert
178,Base cold even including rock opportunity possible however raise station.,15-05-2025,18-06-2025,user_4,Medium,To Do,Bug,8.2,8.2,6.8,Intermediate
179,Foot once system yet sign before kid.,12-06-2025,11-07-2025,user_6,Medium,Done,Feature,1.7,1.8,8.3,Beginner
180,Huge follow school we important against run technology.,11-05-2025,13-07-2025,user_3,Medium,In Progress,Bug,3.4,2.7,1.5,Expert
181,Mind culture research up chance dark seem home I investment piece far.,07-06-2025,17-07-2025,user_2,High,To Do,Improvement,3.6,2.7,7.2,Expert
182,Government too hospital either worker clear clear market ability.,01-05-2025,24-06-2025,user_8,Low,In Progress,Bug,1.3,1.1,4.7,Expert
183,Memory test candidate will goal population occur.,19-05-2025,11-07-2025,user_1,Low,To Do,Improvement,7.3,9.4,11.5,Beginner
184,Executive able term new bag about international team role yet treatment can.,29-05-2025,19-07-2025,user_6,Medium,To Do,Bug,3.4,3.5,8.1,Expert
185,Product police rise less learn break long close section ten north page manage.,23-05-2025,12-06-2025,user_6,Medium,In Progress,Bug,11.7,13.2,6.5,Beginner
186,Similar recent air already appear yet bed trouble election effort.,05-05-2025,07-07-2025,user_8,Medium,In Progress,Bug,8.6,10.9,3.9,Expert
187,Message front early game glass glass evidence matter deep most question develop.,21-06-2025,08-07-2025,user_3,Low,To Do,Improvement,6.3,6.6,7.4,Expert
188,Thought support turn collection day nature attorney business star through despite many.,20-06-2025,08-07-2025,user_6,High,To Do,Bug,4.3,4.7,1.8,Intermediate
189,Admit hospital and dark term race per.,28-04-2025,23-07-2025,user_1,Low,In Progress,Feature,2.8,2.8,2.1,Intermediate
190,Interview example quality administration green amount yard.,16-06-2025,24-06-2025,user_3,Medium,In Progress,Feature,4.7,4.6,3.9,Expert
191,Role worker ten manage kitchen outside go care south military visit effort.,30-05-2025,24-07-2025,user_7,Medium,In Progress,Improvement,7.5,7.4,6.3,Intermediate
192,Tough carry kind growth value have high bed could manage in.,19-06-2025,12-07-2025,user_1,High,To Do,Improvement,8.1,7.4,9.8,Intermediate
193,Thing class event peace our specific official.,14-05-2025,15-05-2025,user_10,Medium,To Do,Improvement,6.3,5.3,1.9,Intermediate
194,Center within say magazine close improve.,08-06-2025,01-07-2025,user_5,Medium,To Do,Bug,11.7,14.1,9.5,Expert
195,Agree turn college letter inside analysis.,08-06-2025,15-07-2025,user_3,Medium,To Do,Bug,9.3,9.4,5.7,Expert
196,Government vote interesting glass believe education able ball name within month could.,21-05-2025,25-05-2025,user_5,High,In Progress,Improvement,4.9,4.5,2.5,Intermediate
197,Long nation type now perhaps yet usually identify.,03-05-2025,17-06-2025,user_10,High,In Progress,Feature,7.2,8.2,11,Beginner
198,Stop hold authority similar let crime billion kind perhaps human authority Congress dog.,02-05-2025,06-05-2025,user_3,Medium,To Do,Bug,7.8,8.6,4,Beginner
199,Expert then their follow program detail old hear call next about food.,15-05-2025,14-06-2025,user_10,Medium,In Progress,Feature,11.4,9.2,8.5,Intermediate
200,Film always drop once up young account spend room individual state develop employee.,21-06-2025,18-07-2025,user_10,Medium,To Do,Bug,6.5,5.2,2.5,Intermediate
201,Bed figure audience deep forget establish Democrat and sound.,08-06-2025,21-06-2025,user_7,Medium,To Do,Improvement,11.8,13.1,8.7,Intermediate
202,Once operation worry common debate control south.,25-06-2025,13-07-2025,user_4,Medium,To Do,Bug,1.2,1.4,3.7,Expert
203,Wrong course need yourself value million career determine authority audience available claim wonder animal.,24-06-2025,03-07-2025,user_8,Low,To Do,Bug,1.5,1.2,9,Beginner
204,Rate recognize two various five worker theory Mrs wish.,20-06-2025,21-07-2025,user_2,Low,In Progress,Feature,2.4,2.4,3.3,Expert
205,Loss throw during win present heavy people occur blood industry environmental.,01-05-2025,12-06-2025,user_2,Medium,In Progress,Improvement,10.4,8.3,10.3,Expert
206,Push author too them great church field system hand sure letter case similar.,25-06-2025,19-07-2025,user_10,Low,In Progress,Feature,3.8,4.2,6.9,Intermediate
207,School life professional hair peace commercial indeed.,20-05-2025,22-05-2025,user_9,Low,To Do,Bug,1.4,1.4,7.6,Expert
208,Tough series cold probably ability effect.,27-04-2025,11-07-2025,user_6,Medium,Done,Bug,5.8,6.5,11.2,Intermediate
209,Right knowledge life surface while travel federal happy however result off.,03-05-2025,17-07-2025,user_2,Medium,In Progress,Bug,7.9,9.6,11.1,Intermediate
210,Somebody successful personal short seat argue explain price base.,19-05-2025,22-06-2025,user_9,High,Done,Feature,2.9,3.3,1.9,Beginner
211,Improve citizen rich develop summer store life.,17-06-2025,29-06-2025,user_5,Medium,To Do,Feature,5.3,5.7,10.3,Expert
212,Effort edge mention life interesting fast share particularly possible event environmental.,13-06-2025,24-07-2025,user_8,High,In Progress,Bug,4.5,4.5,11.4,Expert
213,Church less assume government indeed blood understand here state nearly.,03-06-2025,12-06-2025,user_3,High,To Do,Feature,10.1,12.5,6.9,Intermediate
214,Official hit task no each stop for cell face hand.,30-04-2025,02-06-2025,user_1,High,In Progress,Feature,2.1,2.7,4.1,Intermediate
215,Themselves million gun see arm sell help out event manage method our.,14-05-2025,21-07-2025,user_1,High,To Do,Improvement,10,9,9,Intermediate
216,Recently cost seven again item event surface any choose.,24-06-2025,12-07-2025,user_5,Medium,To Do,Feature,1.1,1.1,7.3,Expert
217,Site series story step blood positive president similar cell industry character only ten.,15-05-2025,12-07-2025,user_1,Medium,To Do,Feature,1.7,1.2,1.4,Intermediate
218,Mrs story loss economy population strong.,24-06-2025,06-07-2025,user_3,Medium,To Do,Feature,8.7,9.9,2.7,Intermediate
219,Suddenly answer speak sort economy federal kind guy.,22-05-2025,08-07-2025,user_1,Low,To Do,Bug,8.8,9.7,6,Intermediate
220,Plant your customer difficult car blood five.,30-05-2025,13-07-2025,user_5,Medium,In Progress,Feature,4,4.7,9.3,Beginner
221,Reach political us indeed such senior table yourself prepare.,31-05-2025,23-06-2025,user_7,Medium,To Do,Feature,6.8,5.2,10.3,Intermediate
222,Usually figure late pretty item treatment.,25-05-2025,27-06-2025,user_5,High,In Progress,Bug,9.3,9.9,9.6,Expert
223,Fight whole four knowledge democratic special pick school interview weight material.,07-06-2025,25-07-2025,user_2,Medium,To Do,Feature,3.9,4.4,3.9,Beginner
224,Improve way billion should fight face accept question.,13-06-2025,14-06-2025,user_9,High,To Do,Improvement,8.5,8.4,3.7,Intermediate
225,Prepare board fund air dark fly.,08-06-2025,20-06-2025,user_5,Medium,To Do,Feature,4.4,5,7.3,Expert
226,Consider may break wrong current woman bed once figure.,30-04-2025,17-06-2025,user_8,Medium,In Progress,Improvement,5.9,7.9,7.1,Intermediate
227,Statement design play control movie able group director figure.,11-05-2025,02-07-2025,user_10,Low,In Progress,Feature,4.8,3,6.7,Expert
228,International almost likely country hour job role by more son discuss unit.,10-06-2025,26-06-2025,user_4,High,To Do,Bug,6.1,7,2.9,Expert
229,Easy seem subject along Congress go.,29-05-2025,13-06-2025,user_4,Low,In Progress,Bug,1.5,1.8,2.1,Intermediate
230,Hand another cut require century best home body organization chair arrive prevent join.,01-05-2025,22-06-2025,user_2,High,To Do,Improvement,11,9.3,3.4,Expert
231,Deep significant what who instead happen quite two trial ready go myself network.,03-06-2025,19-07-2025,user_9,Medium,In Progress,Feature,11.7,11.1,1.8,Beginner
232,As law author entire prepare film stay.,24-05-2025,24-06-2025,user_4,Medium,In Progress,Feature,2.6,3.3,11,Intermediate
233,Head cost safe fly film person meeting yet talk.,05-05-2025,13-07-2025,user_4,High,To Do,Feature,11.5,13.2,1,Intermediate
234,Her to campaign among whom whose stand single field safe rate deep.,08-05-2025,24-07-2025,user_5,Medium,In Progress,Bug,9.8,11.2,10.4,Beginner
235,Significant civil early concern air add that production onto.,09-06-2025,06-07-2025,user_2,Medium,In Progress,Feature,1.6,2,4,Intermediate
236,Official newspaper decide five bad president.,24-05-2025,11-07-2025,user_10,Low,To Do,Feature,6,7.2,8.2,Beginner
237,While send eat husband again statement name side store media.,10-06-2025,01-07-2025,user_1,Low,In Progress,Bug,5.9,4.2,7.9,Intermediate
238,Practice center message defense to those claim training upon effect.,24-05-2025,15-07-2025,user_10,High,To Do,Feature,2.8,2.3,10.6,Expert
239,Floor any role culture general at possible specific nothing also finally right.,22-05-2025,07-06-2025,user_3,High,To Do,Bug,4.3,3.2,5.1,Intermediate
240,Me point despite law main civil require huge.,23-06-2025,08-07-2025,user_9,Medium,To Do,Bug,7.1,6.9,5.9,Intermediate
241,Sea everybody win heart approach still shoulder price probably camera together win build.,05-05-2025,26-06-2025,user_4,Medium,In Progress,Feature,5.8,5.4,6,Intermediate
242,Thousand life next tonight chair store ten painting hand alone baby east treat.,28-04-2025,04-07-2025,user_6,Low,In Progress,Feature,11.4,13.2,10.4,Expert
243,Choice what sea hope somebody program various president.,08-06-2025,25-06-2025,user_4,Low,To Do,Bug,9.9,9.4,9.2,Beginner
244,Sister listen wonder herself behind program describe development both central special.,28-05-2025,16-06-2025,user_3,High,In Progress,Improvement,5.2,5.6,8,Expert
245,Blue skin quickly yes present response leave off.,06-05-2025,08-05-2025,user_1,Low,To Do,Feature,2.8,2.3,4.8,Intermediate
246,Soon the onto father care mind call region better tree.,19-06-2025,07-07-2025,user_1,Medium,To Do,Improvement,2.1,2.6,2.5,Intermediate
247,If defense bag raise speech actually.,02-05-2025,11-07-2025,user_7,Medium,In Progress,Feature,1.1,1.5,11.2,Intermediate
248,None customer sing produce himself task eye threat.,15-05-2025,07-07-2025,user_9,Low,Done,Improvement,10.8,11.6,10.2,Expert
249,Whether team discover product him citizen group kind but.,16-06-2025,30-06-2025,user_1,Medium,Done,Feature,8.9,5.9,6.6,Intermediate
250,Central our their know month method safe off since represent.,11-05-2025,11-07-2025,user_1,Medium,To Do,Feature,9.9,9.3,11.4,Expert
251,Research among full miss shoulder with purpose even thank.,20-06-2025,20-07-2025,user_3,High,Done,Bug,11.3,13.5,4.9,Beginner
252,Author subject you rest find feeling home nothing if rock benefit.,08-05-2025,13-05-2025,user_3,Medium,To Do,Feature,7.1,7.4,12,Intermediate
253,Able kitchen surface side future history admit up.,02-05-2025,26-05-2025,user_8,Medium,Done,Bug,6,7.4,3.9,Intermediate
254,Sit candidate those from TV turn arrive.,06-06-2025,12-07-2025,user_5,Medium,To Do,Feature,1.6,1,9.5,Beginner
255,Black movie risk garden everybody partner scene party seek best though.,15-06-2025,06-07-2025,user_4,Medium,In Progress,Improvement,10.4,11.1,12,Expert
256,Put result seek maintain Democrat once describe operation rock realize medical would across.,01-06-2025,11-07-2025,user_7,Medium,To Do,Improvement,8.9,8.3,10.7,Expert
257,Local how significant cut ability people him increase debate bring economy.,09-06-2025,01-07-2025,user_7,Low,In Progress,Improvement,6.4,6.7,7.4,Intermediate
258,Above hear none three teach leg film push form question beat strong.,17-05-2025,17-06-2025,user_1,Medium,To Do,Improvement,9.2,12.2,11.1,Expert
259,Amount mention southern available medical power field.,19-05-2025,03-07-2025,user_4,Medium,In Progress,Bug,3.6,5.7,2,Intermediate
260,World site who radio short day agreement everything military cultural soon.,06-06-2025,16-06-2025,user_1,Medium,In Progress,Bug,1.4,1.6,2,Beginner
261,Half any business or than long message group quickly reveal practice brother.,04-06-2025,24-07-2025,user_6,Medium,In Progress,Feature,8.7,9.2,2.7,Intermediate
262,Every machine successful statement every everyone ten woman form statement election reduce growth land.,14-05-2025,19-05-2025,user_2,Low,To Do,Improvement,10.8,12.5,9.6,Expert
263,Property beyond best yeah break then Republican continue response century measure process force pattern.,14-06-2025,07-07-2025,user_2,Medium,In Progress,Feature,10.6,9.4,2.8,Beginner
264,Fund east middle threat single six by husband program cup unit where consumer.,12-06-2025,27-06-2025,user_1,Medium,To Do,Bug,8.5,7,8.2,Beginner
265,Democrat member music strategy perhaps these trial ago from.,08-06-2025,06-07-2025,user_8,High,Done,Improvement,4.6,4.3,4,Expert
266,Commercial their training from economic nothing marriage wonder drop fish line.,12-06-2025,12-06-2025,user_4,Medium,In Progress,Bug,10.9,12.6,4.3,Intermediate
267,Put black join community different from always.,20-06-2025,02-07-2025,user_7,Medium,In Progress,Feature,2.3,2,4.7,Intermediate
268,Help between use magazine senior forward current accept.,19-06-2025,27-06-2025,user_7,Medium,Done,Bug,9,9.9,8,Expert
269,Radio budget southern social prove good accept east usually poor decide parent offer.,27-05-2025,15-06-2025,user_6,High,To Do,Improvement,5.8,5.7,11.6,Expert
270,Over little seek human raise somebody dog Mrs.,03-06-2025,19-07-2025,user_4,Medium,In Progress,Feature,9.6,10.9,2.8,Beginner
271,Others girl resource hold similar peace few.,03-05-2025,30-05-2025,user_4,High,To Do,Bug,1.9,1.9,3,Intermediate
272,Market and idea nature democratic attorney card notice measure probably test.,23-05-2025,01-07-2025,user_8,Low,To Do,Feature,9.5,9.3,6.9,Intermediate
273,Him natural evening instead situation feel mean let thing will.,17-06-2025,23-07-2025,user_7,High,In Progress,Improvement,5.9,7,1,Intermediate
274,Six cost quality we glass dinner.,08-05-2025,28-05-2025,user_10,Medium,In Progress,Improvement,4.1,5.4,6.4,Beginner
275,Car rate both expect everybody safe.,23-06-2025,22-07-2025,user_9,High,In Progress,Bug,5.1,4.4,5.6,Intermediate
276,Lawyer which former image candidate consider sell water growth kitchen.,24-05-2025,08-06-2025,user_1,Medium,To Do,Bug,4.6,4.5,7.2,Intermediate
277,You ball quality miss imagine itself thing effort major tough throw stock road.,21-06-2025,10-07-2025,user_3,Medium,In Progress,Feature,6.7,5.8,3.6,Beginner
278,Food station product get single defense life police maybe war international with control.,24-05-2025,19-07-2025,user_6,High,In Progress,Bug,6.2,9,4.5,Intermediate
279,Open beat gas government avoid once question few star wrong factor change bar.,23-06-2025,19-07-2025,user_3,Low,To Do,Feature,1.7,1.9,3.6,Intermediate
280,Feel heart particularly large fast party.,20-06-2025,18-07-2025,user_2,Medium,To Do,Bug,8.8,10,4.7,Beginner
281,Court base size few per blood such section recent agent number wall.,05-05-2025,11-05-2025,user_9,Medium,To Do,Improvement,9.3,12.8,4.3,Intermediate
282,Another allow democratic hundred skin speak carry court apply step represent.,31-05-2025,26-06-2025,user_4,Medium,In Progress,Feature,11.5,11.9,4.4,Expert
283,Line news necessary money reflect picture clearly.,06-05-2025,12-06-2025,user_3,Medium,In Progress,Feature,6,6.4,8.6,Intermediate
284,Stay impact fight support stand my already turn middle six out.,26-05-2025,20-07-2025,user_8,Low,In Progress,Feature,5.5,6.4,9.6,Expert
285,Policy free think kid cup team long add girl at hit let move.,22-05-2025,22-07-2025,user_10,Medium,In Progress,Improvement,2.1,1.8,10.3,Intermediate
286,Program whom sister find test now wish far agent police talk.,05-05-2025,01-06-2025,user_9,High,Done,Feature,7.2,7.2,4.8,Beginner
287,Room painting compare hot hot find join fact attorney sport business identify fund.,16-06-2025,14-07-2025,user_5,High,To Do,Feature,11.6,13.5,6.1,Intermediate
288,Cup later you little tonight pick brother tree dark prevent.,07-05-2025,16-05-2025,user_4,High,Done,Feature,11.3,12.3,7.3,Expert
289,Air do high performance general suggest every card nothing.,08-06-2025,21-06-2025,user_3,Medium,To Do,Bug,4.7,6.9,2.9,Expert
290,Student family attention power outside now trade news.,06-06-2025,20-07-2025,user_4,High,In Progress,Improvement,1.1,1.2,2.8,Intermediate
291,Rock along on success here positive fight thus weight fight tough a pull.,09-06-2025,20-06-2025,user_1,Medium,In Progress,Feature,8.9,7.1,2.5,Beginner
292,Us by yes project ability large.,07-06-2025,11-07-2025,user_6,High,To Do,Improvement,4.7,4.2,3.6,Expert
293,Stage church of available until have page two air thought notice.,11-06-2025,12-06-2025,user_10,High,In Progress,Bug,5.2,4.8,6.9,Intermediate
294,Unit which provide test leader ahead.,17-06-2025,17-07-2025,user_2,Low,To Do,Improvement,10.5,9.2,10.2,Expert
295,Congress can rule tend ability assume accept all trial main score.,06-06-2025,24-06-2025,user_2,High,In Progress,Bug,8.1,6.3,3.3,Intermediate
296,Mind ok behavior agency full gas cup prevent admit least artist system.,03-05-2025,26-06-2025,user_4,High,In Progress,Feature,7.5,8.9,3.4,Intermediate
297,Enough of nothing near adult already hundred season.,20-06-2025,22-06-2025,user_10,High,Done,Improvement,6.3,5.6,2.4,Intermediate
298,Back vote face south raise food against pressure just become window wrong adult.,10-06-2025,17-07-2025,user_8,High,Done,Bug,10.8,12.1,2.3,Expert
299,Fight strategy when ask paper method similar year yeah.,28-04-2025,14-05-2025,user_9,Low,To Do,Feature,9.1,8.2,9.4,Intermediate
300,Future against when guy sometimes glass.,31-05-2025,11-07-2025,user_9,High,To Do,Feature,11.6,14.4,5.8,Intermediate
301,Fine war nature myself contain last draw born able.,07-05-2025,26-06-2025,user_9,Medium,In Progress,Bug,2.7,1.8,1.7,Intermediate
302,Day with four however class thing TV.,23-05-2025,22-06-2025,user_3,Medium,Done,Feature,2.8,2.2,7.8,Beginner
303,Month read sense PM large many available anything body.,05-05-2025,26-06-2025,user_3,Medium,In Progress,Bug,10.2,9.1,6.4,Intermediate
304,Culture kind try sister hundred throw morning agree across reduce foot high.,15-06-2025,30-06-2025,user_4,High,In Progress,Bug,4.6,3.5,1.9,Intermediate
305,Between usually cut study name pay would walk attack bring year structure.,12-06-2025,29-06-2025,user_3,High,To Do,Improvement,1.2,1.3,9.2,Expert
306,Far course travel same right subject which.,22-05-2025,07-06-2025,user_9,Medium,In Progress,Feature,3,3.5,10.6,Intermediate
307,Myself TV until behavior all me job player opportunity apply of.,13-06-2025,22-07-2025,user_1,High,To Do,Improvement,8.9,8.1,1.5,Expert
308,Significant development when consider idea finish scene simple realize cover health yeah.,27-04-2025,15-05-2025,user_8,Medium,To Do,Bug,8.3,11.5,3.9,Beginner
309,Weight experience this fill hear blue identify response.,05-06-2025,25-07-2025,user_2,High,In Progress,Improvement,2.3,2.4,8.6,Intermediate
310,Whatever partner make behind it one scene accept.,27-04-2025,07-07-2025,user_8,Medium,To Do,Bug,3.2,3.2,7.5,Beginner
311,Similar establish even sit near girl.,14-06-2025,06-07-2025,user_7,High,To Do,Improvement,2.5,3.3,9.3,Expert
312,Reflect along kind radio cup above yourself tree threat operation.,19-05-2025,28-06-2025,user_1,Medium,To Do,Bug,4.4,4,4.8,Intermediate
313,Could institution itself foreign audience list.,30-04-2025,27-05-2025,user_7,Low,To Do,Bug,5.7,6.6,5.4,Expert
314,Great provide blood why company move or suddenly dinner.,13-05-2025,17-06-2025,user_8,High,To Do,Improvement,3.6,3,6.9,Intermediate
315,Perform machine guy artist film tough type.,27-04-2025,18-07-2025,user_1,Medium,To Do,Bug,10.4,9.8,1.1,Intermediate
316,Under physical market charge police live hear center gas.,01-06-2025,05-07-2025,user_9,High,In Progress,Feature,4.3,6.2,7.3,Intermediate
317,Recent civil office natural whether sister billion site continue police.,12-06-2025,20-06-2025,user_2,Low,In Progress,Feature,4.8,6.1,3.5,Intermediate
318,Fall child wish law method management dream.,11-06-2025,30-06-2025,user_9,Low,In Progress,Improvement,7.7,6,1.3,Intermediate
319,Happy car wide why movement amount close happy nation couple Mrs work.,19-06-2025,20-07-2025,user_9,High,In Progress,Improvement,3.8,3.8,5,Intermediate
320,Product staff just message middle program rise language clearly.,16-06-2025,06-07-2025,user_7,Low,In Progress,Feature,6.5,7.1,1.6,Intermediate
321,Point discussion nature wear whether war paper sometimes air.,12-05-2025,18-05-2025,user_8,High,Done,Bug,1.6,1,1.3,Beginner
322,Special alone land time ask buy do how scene tax one long social.,22-05-2025,07-07-2025,user_2,Medium,To Do,Improvement,10.2,13.9,8.7,Expert
323,Ahead me friend western artist according audience practice value opportunity may night.,24-06-2025,26-06-2025,user_5,Medium,In Progress,Feature,7.8,8.1,2.4,Expert
324,Time affect term until why decide kid amount.,07-05-2025,16-07-2025,user_9,Medium,In Progress,Improvement,7.7,10.3,2.3,Intermediate
325,Key something save can foreign should.,17-06-2025,14-07-2025,user_7,Low,In Progress,Feature,6.7,4.5,4.9,Intermediate
326,Happen imagine institution fact plant most rate.,16-06-2025,20-07-2025,user_2,Medium,To Do,Feature,11.1,11,9.4,Intermediate
327,Deep major language activity institution him compare population else like structure training case.,16-05-2025,23-06-2025,user_6,Medium,To Do,Feature,2.4,1.5,3.6,Intermediate
328,Language drop myself support statement away stuff tax population from alone forward involve.,07-06-2025,10-07-2025,user_10,Medium,Done,Feature,4.5,5.2,4.7,Intermediate
329,Within food need show ground Democrat.,20-05-2025,01-06-2025,user_9,Low,In Progress,Feature,9.8,11.4,11.3,Intermediate
330,Skill not candidate no challenge law woman president live include case represent face skin.,09-05-2025,09-06-2025,user_3,Medium,In Progress,Improvement,10.8,12.5,3.8,Expert
331,Language often machine money throw benefit statement down personal.,21-06-2025,07-07-2025,user_4,Low,In Progress,Bug,4.2,3.9,11.8,Beginner
332,Boy current compare itself mission face human increase some.,28-04-2025,12-07-2025,user_7,High,In Progress,Improvement,7.1,5.4,4.6,Expert
