task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level
333,More six carry task him investment end character kid travel president carry baby reality.,24-06-2025,26-06-2025,user_1,High,To Do,Improvement,5.6,5.5,3.6,Intermediate
334,Wish speak commercial represent sign recent.,16-05-2025,27-06-2025,user_8,Medium,To Do,Bug,5.9,9.6,5.8,Intermediate
335,Government shake staff pull most then traditional wrong cause or write system where.,15-05-2025,08-06-2025,user_7,High,To Do,Bug,6.7,6.8,1.4,Intermediate
336,Lay home treat deep program speech.,22-06-2025,24-07-2025,user_3,Low,To Do,Feature,11.3,9.6,4,Intermediate
337,Hotel music bar sign along side.,01-06-2025,10-07-2025,user_7,High,In Progress,Feature,9.9,10.3,8,Intermediate
338,Standard draw move into back scientist.,17-06-2025,20-07-2025,user_5,High,To Do,Improvement,2.2,2.4,6,Expert
339,Whole spend think concern leave with company personal star.,20-05-2025,18-06-2025,user_2,Low,To Do,Improvement,5.6,5.6,1.5,Beginner
340,Pass mean despite lay age activity.,06-05-2025,25-06-2025,user_4,Medium,Done,Feature,5,4.7,4.5,Intermediate
341,Share compare day drive only girl election off opportunity grow whom reality.,14-05-2025,30-05-2025,user_8,Low,In Progress,Bug,2.5,2.6,7.3,Intermediate
342,Weight cut glass change would wrong message part home list design nor Democrat.,22-05-2025,25-06-2025,user_9,Medium,Done,Bug,8.6,9.1,10.8,Intermediate
343,Citizen impact image rather return major couple sing way a.,12-05-2025,18-06-2025,user_8,High,To Do,Improvement,9.9,12.9,11.9,Intermediate
344,Party industry free range suggest run.,10-05-2025,30-05-2025,user_8,Low,In Progress,Improvement,5,5.3,6.3,Beginner
345,Life difficult plan school table cultural.,04-05-2025,26-06-2025,user_3,High,To Do,Improvement,1.1,1.2,7.6,Intermediate
346,Certainly particularly member need program doctor produce run style week little reason.,25-05-2025,10-07-2025,user_4,Medium,To Do,Bug,6.5,4.9,1.2,Expert
347,Vote modern mouth order top begin moment.,16-05-2025,03-07-2025,user_4,Medium,In Progress,Feature,1.8,2.1,8.7,Intermediate
348,Mr set game list person too pattern fly join past note land goal.,25-06-2025,01-07-2025,user_3,Medium,In Progress,Feature,7.3,6.4,9.7,Intermediate
349,Modern group heavy place recognize budget me.,14-06-2025,02-07-2025,user_6,High,To Do,Feature,9.9,10.2,9.4,Intermediate
350,Me religious leg term indicate apply type dark.,02-06-2025,16-06-2025,user_9,Low,Done,Improvement,10.3,10.3,9.1,Intermediate
351,High economy condition note right easy.,06-06-2025,11-06-2025,user_1,Medium,In Progress,Bug,1.7,1.3,4.1,Intermediate
352,Close entire imagine language risk community carry could read.,23-06-2025,13-07-2025,user_3,High,In Progress,Feature,3.1,2.7,9.1,Beginner
353,Add view trade choice war yourself around especially success player.,30-04-2025,06-06-2025,user_1,Medium,In Progress,Bug,3.4,3.5,9.5,Beginner
354,Able include example lay score material.,23-05-2025,13-07-2025,user_8,Medium,Done,Bug,1.6,1.4,10.6,Expert
355,Oil among peace century place evening include couple research special meet owner.,04-05-2025,02-07-2025,user_3,Medium,To Do,Feature,9.1,11.8,5.7,Expert
356,Speech training wrong without develop job find movement for.,01-05-2025,20-06-2025,user_1,Medium,In Progress,Bug,9.5,10.6,1.5,Intermediate
357,Decade commercial high follow beyond open threat best century list assume foot.,22-05-2025,08-06-2025,user_3,Medium,Done,Improvement,11,13.9,10.7,Intermediate
358,Small old from view drop trade explain within quickly occur.,12-06-2025,23-06-2025,user_1,Medium,In Progress,Feature,11.1,13.1,4.3,Intermediate
359,Particular attack receive develop bar pick lead last firm production.,01-05-2025,20-06-2025,user_6,High,In Progress,Feature,8.4,10,6.2,Beginner
360,Per here often can among court fine among.,13-05-2025,20-06-2025,user_1,High,In Progress,Improvement,5.4,4.4,9.8,Expert
361,Leader no analysis policy response indeed give during technology analysis late perhaps.,18-06-2025,03-07-2025,user_10,Medium,In Progress,Improvement,9.8,11.2,9.8,Intermediate
362,But situation world wait public chair activity.,19-06-2025,25-06-2025,user_3,High,In Progress,Bug,8.5,13.9,2,Expert
363,Particularly specific what face send miss hand beyond imagine memory no research.,15-06-2025,05-07-2025,user_7,Medium,In Progress,Bug,3.9,3.8,10.2,Intermediate
364,Write last give reflect phone support dream research yes choose window goal.,19-05-2025,05-06-2025,user_10,Medium,In Progress,Feature,1.8,1.8,3.2,Intermediate
365,With they those Democrat half despite deep stand receive dog pass property speak.,05-05-2025,05-05-2025,user_9,Medium,Done,Improvement,9.8,10.9,8.4,Beginner
366,Pressure participant station ability pretty your tonight state history anything.,07-06-2025,23-06-2025,user_6,High,In Progress,Improvement,5.8,6.2,7.7,Intermediate
367,North goal treat chance could seven growth truth outside.,11-06-2025,24-06-2025,user_4,Low,In Progress,Feature,8.4,7.7,8,Expert
368,Leg bank minute artist process garden election something talk study wear.,12-05-2025,27-05-2025,user_1,Low,In Progress,Feature,8.1,10.4,7.6,Expert
369,Him program child hot hear admit run establish face feeling.,24-06-2025,10-07-2025,user_1,Low,In Progress,Feature,2.2,2.5,9,Expert
370,When magazine small newspaper happen real house figure.,24-06-2025,15-07-2025,user_9,Low,To Do,Bug,8.6,6.4,2.8,Expert
371,Value describe tell my at set public you society create hospital control.,09-05-2025,19-07-2025,user_5,High,To Do,Bug,10.9,14.6,8.6,Intermediate
372,Six others day condition respond reduce manage itself recent reason.,09-06-2025,24-07-2025,user_10,Medium,To Do,Improvement,1.7,1.9,1.4,Intermediate
373,Make prove week happen purpose heavy father.,31-05-2025,11-07-2025,user_10,Low,To Do,Improvement,11.4,9.1,1.8,Beginner
374,Performance major ready soon kitchen investment image third as floor ability.,04-06-2025,10-07-2025,user_9,Low,In Progress,Improvement,2.4,2.4,3.9,Beginner
375,Discover keep structure compare pattern suffer whom sort fall toward.,18-06-2025,18-07-2025,user_10,High,In Progress,Improvement,5.7,4.5,7.4,Expert
376,True else suddenly least huge research rise American newspaper.,24-06-2025,30-06-2025,user_2,Medium,In Progress,Bug,5.9,5.3,1.7,Intermediate
377,Ok challenge property raise step capital responsibility.,18-06-2025,16-07-2025,user_6,Low,Done,Bug,10.2,9.8,1.2,Expert
378,Seat size draw west traditional home parent present physical first decade.,27-04-2025,04-06-2025,user_6,High,Done,Feature,11.8,12.9,9.3,Intermediate
379,Worry finally involve off local show everything involve.,18-05-2025,29-06-2025,user_7,Medium,To Do,Improvement,6.5,8.9,6.6,Intermediate
380,Beautiful coach interest me true all rise.,07-05-2025,01-07-2025,user_5,Medium,In Progress,Bug,7.2,8.1,5.5,Intermediate
381,Drug quickly new who economic official cut.,21-06-2025,24-07-2025,user_1,Medium,To Do,Feature,9.8,12.1,6.7,Intermediate
382,Too wide write surface face feel girl.,27-04-2025,08-07-2025,user_8,High,To Do,Improvement,7.8,6.4,10.4,Beginner
383,There interest phone money material sort particularly third door unit concern.,25-05-2025,13-07-2025,user_7,Low,In Progress,Feature,8.3,9.1,11.7,Expert
384,Wife trip from care order someone.,23-06-2025,23-06-2025,user_1,Medium,In Progress,Feature,3.2,3.2,5.5,Beginner
385,Citizen send instead several history responsibility wide loss the heavy home.,24-06-2025,02-07-2025,user_4,High,In Progress,Feature,11.6,11.4,7.7,Intermediate
386,Even green while reveal home girl.,28-04-2025,02-05-2025,user_5,High,In Progress,Bug,10,10.5,1.9,Intermediate
387,Resource range conference law born front bit.,07-06-2025,27-06-2025,user_4,Medium,To Do,Improvement,1.7,1.6,11.9,Intermediate
388,That Democrat federal once also now write.,24-05-2025,03-06-2025,user_3,Low,In Progress,Feature,11.4,11,7.4,Expert
389,Least now discussion standard before open establish woman economy close for school task.,23-06-2025,16-07-2025,user_10,High,In Progress,Bug,9.3,13.7,8.9,Beginner
390,Woman local whole save as maintain theory wide free rest such must.,16-05-2025,12-07-2025,user_9,Medium,Done,Bug,8.6,8.4,8.2,Intermediate
391,Win at lay million go suggest interest last court.,25-05-2025,14-07-2025,user_8,Low,To Do,Bug,6.9,6.7,4.6,Intermediate
392,Yet every use investment prove win eye range player bank.,12-06-2025,02-07-2025,user_5,High,In Progress,Improvement,10.7,10,1.4,Expert
393,Work school age choose else her or others away author entire plan detail base.,09-05-2025,14-05-2025,user_10,Low,In Progress,Bug,10.9,10.7,8.4,Intermediate
394,Field interview test forward green give loss.,19-06-2025,27-06-2025,user_1,Low,In Progress,Improvement,3.3,2.3,3.6,Intermediate
395,Give not information food lawyer hospital.,24-06-2025,26-06-2025,user_10,Low,To Do,Feature,7.5,7.5,5.4,Expert
396,Take parent within thousand teacher first.,22-05-2025,25-07-2025,user_7,High,To Do,Feature,9.9,9.4,7,Beginner
397,On military act which factor left simply many a author able.,08-06-2025,14-06-2025,user_2,High,In Progress,Feature,10.9,11.8,2.9,Intermediate
398,Large media meeting author they card.,31-05-2025,26-06-2025,user_10,Low,To Do,Feature,9.7,7.1,12,Expert
399,Small whole husband change too prove government ask central ever.,02-06-2025,11-06-2025,user_9,Low,To Do,Bug,4.5,5.2,3.5,Intermediate
400,Within successful show into speak discuss myself ten.,09-06-2025,03-07-2025,user_1,Medium,In Progress,Bug,9.4,11.8,3.3,Expert
401,At catch research dark smile the goal school rise.,07-05-2025,21-06-2025,user_4,Medium,Done,Bug,8.2,6.2,8,Intermediate
402,Lead section stage despite moment series recognize mean doctor factor both next.,06-05-2025,07-07-2025,user_2,Medium,In Progress,Feature,6.2,5.4,2.3,Expert
403,History customer blue live data art wrong.,14-06-2025,10-07-2025,user_8,Medium,In Progress,Feature,10.1,9.3,8.2,Expert
404,How couple travel if result board establish father in.,19-06-2025,20-06-2025,user_4,Medium,To Do,Bug,1.7,1.7,6.3,Expert
405,Ability beat glass look tonight Republican determine day increase.,06-06-2025,13-07-2025,user_2,Medium,To Do,Feature,7.7,8.6,7.2,Expert
406,Should seven seat scientist answer against in reason election main.,25-05-2025,16-06-2025,user_3,High,In Progress,Feature,1.6,0.9,6.1,Expert
407,Table brother mother he fact line environment resource eight.,09-06-2025,23-07-2025,user_10,Medium,Done,Bug,4,3.6,10.7,Expert
408,Former team act task recognize soon help book.,18-05-2025,25-05-2025,user_7,Medium,In Progress,Feature,3.4,3.1,6.9,Beginner
409,Surface happen loss despite war leader speak medical yet most election here upon.,07-06-2025,24-07-2025,user_2,Low,In Progress,Feature,10.7,9.3,5,Expert
410,Current Republican fish film shake line determine by land.,16-05-2025,29-05-2025,user_3,Low,In Progress,Bug,10.7,13.1,4.8,Intermediate
411,Represent actually away institution everybody goal learn success letter program.,11-05-2025,10-07-2025,user_3,Low,Done,Bug,3.5,3.3,8.6,Expert
412,Well once research movement though share teach community.,20-06-2025,10-07-2025,user_2,Low,To Do,Feature,2.1,1.6,4.7,Expert
413,Peace happy mind main tend discover need.,18-05-2025,17-07-2025,user_4,Medium,Done,Feature,9.9,8.7,3.6,Beginner
414,Agency clear a parent sing realize others century beautiful mind probably owner.,27-05-2025,19-06-2025,user_2,Low,In Progress,Bug,2.7,1.9,8.9,Expert
415,Person decade between young life spring while family.,24-06-2025,24-07-2025,user_7,High,To Do,Bug,10,6.5,9.3,Intermediate
416,Speech herself probably likely color responsibility job.,29-05-2025,02-07-2025,user_3,Low,To Do,Bug,8.9,9,4,Intermediate
417,Large really range court number already follow fast represent positive.,15-05-2025,21-07-2025,user_10,Medium,Done,Improvement,5.4,7.1,6.3,Beginner
418,Fly forget stop section wide TV.,07-05-2025,25-06-2025,user_1,Low,Done,Improvement,5.4,4.1,3,Intermediate
419,Already ready official else long foot stand data case current local actually summer.,29-04-2025,25-07-2025,user_10,Medium,To Do,Improvement,5,4.9,3.7,Beginner
420,Stuff nature structure through anything hour election work laugh then still.,01-06-2025,18-06-2025,user_7,Low,To Do,Improvement,3.9,4.2,10.6,Intermediate
421,Main factor front list like worry station difference safe join need million long.,18-05-2025,26-06-2025,user_5,Low,Done,Bug,3.5,4.6,4.2,Intermediate
422,Professional boy service unit goal next media need or tree.,10-05-2025,22-06-2025,user_10,Medium,To Do,Feature,7.7,7.8,4.7,Expert
423,Consumer agree Republican itself site base tree hope impact rock beautiful.,10-05-2025,06-07-2025,user_3,Medium,Done,Feature,4.2,4.7,2.9,Expert
424,Reveal buy need project travel magazine right.,21-06-2025,24-07-2025,user_8,Medium,Done,Improvement,4.3,4.7,11.3,Expert
425,Standard visit why process direction reason loss organization investment suddenly letter play also.,13-06-2025,16-06-2025,user_6,Medium,In Progress,Feature,12,9.6,8.3,Beginner
426,From seven how lawyer follow detail light.,05-05-2025,28-06-2025,user_10,Medium,To Do,Improvement,9.8,11.9,6.2,Expert
427,Those unit hot reason town with per.,11-05-2025,17-06-2025,user_1,Low,In Progress,Improvement,8,6.8,1,Intermediate
428,Focus hotel method born fly girl join television choose thought quickly arrive.,24-06-2025,20-07-2025,user_9,Low,In Progress,Bug,2.7,3.1,10.9,Expert
429,Service least smile factor clear firm hair identify plant may pay return.,09-06-2025,01-07-2025,user_6,Medium,In Progress,Improvement,3.2,3.8,3.8,Expert
430,Kitchen glass local garden easy wait perform cold entire suffer article boy appear.,28-05-2025,22-07-2025,user_7,Medium,To Do,Improvement,6.8,7.5,1.5,Expert
431,Lawyer tough thank very amount film international cost new far effect bed probably teacher.,15-05-2025,26-05-2025,user_9,Medium,In Progress,Bug,11.3,12,2.5,Intermediate
432,Than than bad mother yeah six.,08-05-2025,29-05-2025,user_10,Medium,In Progress,Bug,7.2,6.7,10.4,Intermediate
433,Wind support work future production produce rather score American professional.,30-05-2025,09-07-2025,user_7,Medium,To Do,Bug,4.8,4.2,5.6,Intermediate
434,Series paper size management myself candidate resource line actually do group.,11-05-2025,25-07-2025,user_6,Low,In Progress,Improvement,2.6,3.2,9,Intermediate
435,Front office most kitchen time test.,01-06-2025,21-07-2025,user_4,Low,To Do,Bug,9.6,12.1,10.2,Beginner
436,Weight time image attack decision what whose many lawyer share money.,10-05-2025,11-07-2025,user_10,Medium,To Do,Improvement,1.1,1.4,7.9,Intermediate
437,Direction the business history rather answer leg last air care city box occur.,11-06-2025,05-07-2025,user_2,High,To Do,Improvement,7.3,7,8.8,Expert
438,Fire officer effort identify song turn trial significant watch without.,03-06-2025,25-06-2025,user_5,High,In Progress,Improvement,10.6,12.9,5.3,Intermediate
439,Yeah plant need especially plan tough.,01-05-2025,06-06-2025,user_8,High,To Do,Improvement,9.5,10.9,1.4,Beginner
440,Travel field spring former next actually push help student good consumer election least three.,15-06-2025,02-07-2025,user_8,High,In Progress,Feature,1.7,1.9,6.2,Intermediate
441,Participant sign yard hand ready bring concern choose exactly later hour real group.,27-04-2025,29-04-2025,user_8,Medium,In Progress,Improvement,9.5,10.2,5.3,Beginner
442,Leave range drive recognize way wide note high character green else his.,10-06-2025,12-06-2025,user_3,Medium,In Progress,Improvement,11,9.1,7.3,Beginner
443,Now provide over road work data raise company.,16-06-2025,25-07-2025,user_10,Low,To Do,Bug,10.8,11.1,6.5,Intermediate
444,Claim break other season road accept rather leg.,06-06-2025,17-07-2025,user_3,Medium,Done,Bug,8.1,8.3,6.6,Expert
445,Ground you yard fire Democrat future training page large forward my prepare.,11-06-2025,13-07-2025,user_2,Medium,In Progress,Bug,3.6,3.8,4.9,Intermediate
446,Situation effect affect energy off half night once sister.,24-05-2025,16-06-2025,user_4,High,In Progress,Improvement,6.1,5.7,9.1,Beginner
447,Herself most truth significant modern you establish institution home threat.,28-05-2025,22-07-2025,user_10,Low,Done,Feature,1.1,1.1,7.5,Beginner
448,Trial too world week wind north political foot society.,25-05-2025,18-06-2025,user_6,Medium,Done,Bug,7.3,6.5,11.2,Beginner
449,Small test this present image vote.,30-05-2025,23-07-2025,user_3,High,In Progress,Feature,11,10.2,7.3,Intermediate
450,Partner great different popular before together meet under significant strong happen American air huge.,08-05-2025,04-07-2025,user_8,High,To Do,Improvement,5.6,5.6,10.7,Intermediate
451,Claim gas say system might technology whole machine everybody still value.,01-06-2025,07-07-2025,user_7,High,In Progress,Bug,1.4,1.6,9.9,Intermediate
452,Describe service Republican amount small best game discuss majority catch campaign.,10-05-2025,12-05-2025,user_9,High,Done,Improvement,6.8,4.4,10.1,Beginner
453,Old control create knowledge rest medical either community morning each.,06-05-2025,17-05-2025,user_3,Medium,In Progress,Feature,6.8,6.1,5.2,Intermediate
454,Ago garden your data so city machine there authority pick series development.,21-06-2025,15-07-2025,user_5,Low,To Do,Improvement,6.5,6.5,11.4,Intermediate
455,Reflect military relate receive traditional car.,03-06-2025,10-06-2025,user_4,Medium,Done,Feature,9.4,8.4,10.5,Intermediate
456,Doctor lose argue your movie gun.,18-06-2025,23-06-2025,user_9,Medium,Done,Feature,5.3,4.6,9.8,Expert
457,Small agency cover hear poor food concern course.,12-05-2025,01-07-2025,user_3,High,To Do,Bug,8.4,7.2,9.8,Intermediate
458,Own two eye eight positive organization.,31-05-2025,07-06-2025,user_9,Medium,To Do,Bug,9.4,7.5,11.7,Expert
459,Ever then trip north edge stand maybe size sign.,27-05-2025,03-06-2025,user_9,Medium,To Do,Feature,8.9,6.6,3.4,Expert
460,Think into amount manager order field according cost seven.,01-05-2025,24-06-2025,user_8,High,In Progress,Feature,1.5,1.6,9.1,Beginner
461,Million man agreement culture general development mouth thing onto society.,14-05-2025,11-07-2025,user_10,Low,To Do,Bug,1.8,1.9,3.8,Intermediate
462,His bit husband himself receive employee probably.,05-05-2025,19-06-2025,user_5,High,Done,Improvement,3.3,3.1,3.2,Intermediate
463,Sometimes site stage term mean already season must how notice.,10-06-2025,23-06-2025,user_6,Medium,Done,Bug,5.1,5.8,4.9,Intermediate
464,Accept hospital able article pass policy example cup score.,09-05-2025,03-06-2025,user_2,High,In Progress,Bug,7.7,5.8,1.9,Intermediate
465,Specific art truth into ball feel operation cup.,20-06-2025,22-06-2025,user_9,Medium,Done,Bug,1,1,9.6,Intermediate
466,Threat certainly near test including treat Mr compare.,11-05-2025,02-06-2025,user_2,Medium,In Progress,Bug,1.5,1.5,1.5,Intermediate
467,Should any short by add current finish full population receive situation put success.,07-06-2025,07-06-2025,user_5,Low,To Do,Improvement,1.8,1.3,11.2,Intermediate
468,Remain less hear save player seek his trial.,05-06-2025,03-07-2025,user_7,Medium,In Progress,Feature,8.3,9.2,7,Intermediate
469,Listen beautiful impact skill address culture girl consider her thought.,30-04-2025,25-06-2025,user_2,Medium,In Progress,Improvement,2.6,3,4.8,Intermediate
470,School draw all while foreign wonder marriage system seat simply.,31-05-2025,09-07-2025,user_4,High,In Progress,Improvement,4.3,3.4,11,Expert
471,Class month serve discover something recently reveal news public although be positive purpose leg.,14-06-2025,06-07-2025,user_10,Medium,To Do,Bug,7,7,1.8,Intermediate
472,Bit for safe your carry red nation fire present smile sometimes.,11-05-2025,29-06-2025,user_10,High,In Progress,Improvement,6.1,5.9,5.9,Intermediate
473,Point sport explain lawyer common state bill we team police government.,12-05-2025,12-05-2025,user_4,High,In Progress,Bug,3,2.4,8.2,Beginner
474,Whom history most remember there international continue director.,05-05-2025,13-07-2025,user_2,High,To Do,Improvement,2.8,2.6,8.8,Intermediate
475,Environment pick others foreign debate kitchen not fact fire account whose identify.,21-06-2025,26-06-2025,user_6,High,Done,Improvement,9.5,8.9,2.3,Expert
476,Federal war question simply behavior act condition see country pressure air.,03-06-2025,13-07-2025,user_4,Low,To Do,Bug,3.3,2.6,6,Intermediate
477,Reach health make feeling hit reveal participant none east purpose whether break.,04-06-2025,04-07-2025,user_9,High,To Do,Bug,5.6,5.1,8.1,Expert
478,Movie sometimes already president bill customer.,07-05-2025,10-05-2025,user_10,Low,Done,Feature,6.6,8.5,10.5,Expert
479,Business range law anything once large crime bit author street authority.,12-05-2025,02-06-2025,user_7,High,In Progress,Improvement,9.3,6.5,7.8,Beginner
480,Store plant amount between history put charge player happen military million.,01-05-2025,08-07-2025,user_1,Low,In Progress,Improvement,3.5,5.3,5.5,Expert
481,Quite seven whole position from pressure call land.,24-05-2025,29-05-2025,user_5,Medium,In Progress,Improvement,1.3,1.4,2.6,Intermediate
482,Fly join can program training financial land.,24-05-2025,31-05-2025,user_1,Low,In Progress,Improvement,1.6,2.3,2,Beginner
483,Mind friend you discussion her huge assume church.,20-06-2025,17-07-2025,user_1,Medium,To Do,Improvement,6.1,6.7,7,Beginner
484,Rock improve agreement condition if much society ready social example class.,29-05-2025,22-07-2025,user_5,Medium,To Do,Bug,9.6,9.8,7.3,Intermediate
485,Ago media forward cause occur stock.,17-06-2025,21-06-2025,user_7,High,Done,Feature,9,9.2,2.6,Intermediate
486,Believe lay establish board democratic best only green.,28-05-2025,14-06-2025,user_9,High,To Do,Improvement,5.3,5.6,8.3,Expert
487,Fly can establish prepare six success training history art drive area specific.,13-06-2025,03-07-2025,user_2,Medium,To Do,Improvement,8.7,10,10.3,Intermediate
488,Pressure affect despite concern future history.,22-06-2025,23-06-2025,user_7,High,To Do,Bug,5.6,4.9,7.1,Expert
489,School career its cold sort child relationship.,18-06-2025,03-07-2025,user_4,Medium,In Progress,Improvement,3.9,4.4,11.2,Expert
490,Grow understand garden professor sit though heavy least truth field let.,14-05-2025,04-06-2025,user_7,Low,In Progress,Bug,5.8,7.1,1.2,Intermediate
491,Box choose turn agree southern discover staff kind life bit.,23-06-2025,17-07-2025,user_2,High,In Progress,Feature,2.2,2.4,9.3,Intermediate
492,Fire Republican former visit hotel before professor.,01-06-2025,13-07-2025,user_8,Medium,To Do,Improvement,12,12,6.1,Intermediate
493,Ready receive anyone research thought garden buy oil behavior article very bad art.,15-06-2025,27-06-2025,user_10,High,To Do,Feature,5,6.6,5.1,Expert
494,Quite decision section believe particular network recently room behind step source.,19-05-2025,26-06-2025,user_9,Low,To Do,Improvement,11.4,13.3,10,Expert
495,Vote man fish form it human rich billion perform.,04-05-2025,19-07-2025,user_5,High,In Progress,Feature,4,5,5,Intermediate
496,Put manager together top book case religious hair.,08-06-2025,17-07-2025,user_5,Medium,To Do,Improvement,2.5,2.1,11.3,Intermediate
497,Want set wife fire there often skill.,23-05-2025,07-07-2025,user_7,High,To Do,Bug,7.2,6.8,10,Intermediate
498,You deep difference later former business more spring however describe.,20-06-2025,01-07-2025,user_6,Medium,In Progress,Feature,7,8,11.2,Intermediate
499,Measure analysis realize build specific perhaps same point employee religious.,01-06-2025,10-06-2025,user_2,Low,In Progress,Improvement,8.6,9.5,11.1,Beginner
500,Agency brother dog card doctor star everyone main green attack general writer hit.,23-06-2025,25-07-2025,user_10,Low,In Progress,Improvement,6,6.4,7.6,Expert
